"Name","Date","Tournament","Division","TotalDivs","Placement","Players","Wins","Margin","GamesFirst","GamesLast","Rating","Norm","NormProgress"
"Marlon Prudencio",2013-06-23,"EM23JUNE",1,2,1,10,9,827,822,831,2044,"",""
"Shim Yen Nee",2013-06-23,"EM23JUNE",1,2,6,10,4,-337,1250,1259,1856,"",""
"Victor Chua",2013-06-23,"EM23JUNE",1,2,2,10,7,587,780,788,1909,"GM",""
"Yong Jian Rong",2013-06-23,"EM23JUNE",1,2,7,10,4,-423,354,363,1861,"",""
"Tony Sim",2013-07-28,"Singapore National Scrabble Championship 2013",1,3,11,18,8,83,1888,1905,1841,"",""
"Cheah Siu Hean",2013-07-28,"Singapore National Scrabble Championship 2013",1,3,4,18,11,54,1720,1737,1963,"",""
"Ricky Purnomo",2013-07-28,"Singapore National Scrabble Championship 2013",1,3,9,18,9,252,1248,1265,1884,"",""
"Andy Kurnia",2013-07-28,"Singapore National Scrabble Championship 2013",1,3,15,18,7,-297,1438,1454,1755,"",""
"Hubert Wee Ming Hui",2013-07-28,"Singapore National Scrabble Championship 2013",1,3,2,18,12,984,1075,1092,1969,"",""
"Toh Weibin",2013-07-28,"Singapore National Scrabble Championship 2013",1,3,3,18,12,436,528,545,1996,"",""
"Marlon Prudencio",2013-07-28,"Singapore National Scrabble Championship 2013",1,3,6,18,10,-61,832,849,2005,"",""
"Shim Yen Nee",2013-07-28,"Singapore National Scrabble Championship 2013",1,3,10,18,9,-91,1260,1277,1835,"",""
"Yong Jian Rong",2013-07-28,"Singapore National Scrabble Championship 2013",1,3,12,18,8,14,364,377,1880,"",""
"Tony Sim",2013-08-18,"Jurong Green CC mini tournament",1,2,7,10,4,-19,1906,1914,1835,"",""
"Andy Kurnia",2013-08-18,"Jurong Green CC mini tournament",1,2,4,10,5,-18,1455,1463,1790,"",""
"Hubert Wee Ming Hui",2013-08-18,"Jurong Green CC mini tournament",1,2,3,10,6,353,1093,1101,1968,"",""
"Toh Weibin",2013-08-18,"Jurong Green CC mini tournament",1,2,2,10,6,373,546,554,1990,"",""
"Marlon Prudencio",2013-08-18,"Jurong Green CC mini tournament",1,2,1,10,9,1150,850,858,2030,"",""
"Yong Jian Rong",2013-08-18,"Jurong Green CC mini tournament",1,2,5,10,5,-133,378,386,1881,"",""
"Tony Sim",2013-09-08,"Grandeur 8 mini tournament",1,2,4,12,6,-213,1915,1925,1865,"",""
"Cheah Siu Hean",2013-09-08,"Grandeur 8 mini tournament",1,2,3,12,7,35,1738,1748,1974,"",""
"Ricky Purnomo",2013-09-08,"Grandeur 8 mini tournament",1,2,5,12,5,343,1266,1276,1885,"",""
"Andy Kurnia",2013-09-08,"Grandeur 8 mini tournament",2,2,2,12,9,963,1464,1474,1820,"",""
"Hubert Wee Ming Hui",2013-09-08,"Grandeur 8 mini tournament",1,2,2,12,9,453,1102,1112,2010,"",""
"Marcus David Goh",2013-09-08,"Grandeur 8 mini tournament",1,2,7,12,5,-274,554,564,1877,"",""
"Toh Weibin",2013-09-08,"Grandeur 8 mini tournament",1,2,1,12,9,748,555,565,2026,"",""
"Marlon Prudencio",2013-09-08,"Grandeur 8 mini tournament",1,2,11,12,4,-389,859,869,1996,"",""
"Yeo Kian Hung Henry",2013-09-08,"Grandeur 8 mini tournament",1,2,12,12,4,-391,545,554,1878,"",""
"Victor Chua",2013-09-08,"Grandeur 8 mini tournament",1,2,8,12,4,39,789,798,1895,"",""
"Yong Jian Rong",2013-09-08,"Grandeur 8 mini tournament",1,2,6,12,5,-118,387,397,1882,"",""
"Tony Sim",2013-10-06,"Oktobertilefez Scrabblemini",1,1,7,12,6,22,1926,1935,1854,"",""
"Hubert Wee Ming Hui",2013-10-06,"Oktobertilefez Scrabblemini",1,1,1,12,10,1067,1113,1122,2025,"",""
"Marlon Prudencio",2013-10-06,"Oktobertilefez Scrabblemini",1,1,2,12,9,704,870,879,2006,"",""
"Liew Kian Boon",2013-10-06,"Oktobertilefez Scrabblemini",1,1,4,12,7,282,539,548,1972,"",""
"Yong Jian Rong",2013-10-06,"Oktobertilefez Scrabblemini",1,1,5,12,7,226,398,407,1883,"",""
"Tony Sim",2013-11-16,"WYSC Scrabble Benefit Tournament",1,2,8,14,4,30,1936,1943,1841,"",""
"Cheah Siu Hean",2013-11-16,"WYSC Scrabble Benefit Tournament",1,2,3,14,5,470,1749,1756,1959,"",""
"Marlon Prudencio",2013-11-16,"WYSC Scrabble Benefit Tournament",1,2,7,14,4,487,880,887,1983,"",""
"Liew Kian Boon",2013-11-16,"WYSC Scrabble Benefit Tournament",1,2,1,14,6,270,549,556,1973,"",""
"Victor Chua",2013-11-16,"WYSC Scrabble Benefit Tournament",1,2,5,14,5,64,799,806,1891,"",""
"Tony Sim",2013-12-01,"mini",1,1,5,10,6,160,1944,1953,1845,"",""
"Marlon Prudencio",2013-12-01,"mini",1,1,2,10,7,651,888,897,1975,"",""
"Yong Jian Rong",2013-12-01,"mini",1,1,1,10,8,686,408,417,1913,"GM",""
"Marlon Prudencio",2013-12-08,"Jurong Green CC mini tournament",1,1,1,8,7,813,898,905,1984,"",""
"Yong Jian Rong",2013-12-08,"Jurong Green CC mini tournament",1,1,2,8,6,1116,418,425,1913,"",""
"Tony Sim",2013-12-14,"WYSC Scrabble Benefit Tournament",1,2,3,10,5,304,1954,1961,1841,"",""
"Ricky Purnomo",2013-12-14,"WYSC Scrabble Benefit Tournament",1,2,4,10,5,240,1277,1284,1873,"",""
"Liew Kian Boon",2013-12-14,"WYSC Scrabble Benefit Tournament",1,2,2,10,7,421,557,564,1977,"",""
"Yong Jian Rong",2013-12-14,"WYSC Scrabble Benefit Tournament",1,2,1,10,7,440,426,433,1928,"",""
"Tony Sim",2014-01-19,"15th SA Millennium Cup",1,1,3,14,13,422,1962,1978,1883,"",""
"Cheah Siu Hean",2014-01-19,"15th SA Millennium Cup",1,1,2,14,13,1165,1757,1773,1962,"",""
"Hubert Wee Ming Hui",2014-01-19,"15th SA Millennium Cup",1,1,1,14,16,1736,1123,1138,2041,"",""
"Marlon Prudencio",2014-01-19,"15th SA Millennium Cup",1,1,4,14,12,1033,906,922,1965,"",""
"Tony Sim",2014-01-25,"WYSC Scrabble Benefit Tournament",1,2,1,8,7,517,1979,1986,1915,"",""
"Marlon Prudencio",2014-01-25,"WYSC Scrabble Benefit Tournament",1,2,2,8,6,670,923,930,1966,"",""
"Yong Jian Rong",2014-01-25,"WYSC Scrabble Benefit Tournament",1,2,4,8,4,432,434,441,1901,"",""
"Tony Sim",2014-02-22,"WYSC Scrabble Benefit Tournament",1,2,4,8,5,278,1987,1995,1909,"",""
"Cheah Siu Hean",2014-02-22,"WYSC Scrabble Benefit Tournament",1,2,2,8,6,317,1774,1782,1958,"",""
"Marlon Prudencio",2014-02-22,"WYSC Scrabble Benefit Tournament",1,2,1,8,6,546,931,939,1962,"",""
"Victor Chua",2014-02-22,"WYSC Scrabble Benefit Tournament",1,2,5,8,5,-106,807,815,1879,"",""
"Tony Sim",2014-03-15,"WYSC Scrabble Benefit Tournament",1,1,4,10,6,370,1996,2004,1908,"",""
"Cheah Siu Hean",2014-03-15,"WYSC Scrabble Benefit Tournament",1,1,3,10,7,501,1783,1791,1965,"",""
"Hubert Wee Ming Hui",2014-03-15,"WYSC Scrabble Benefit Tournament",1,1,1,10,8,1050,1139,1147,2048,"",""
"Marlon Prudencio",2014-03-15,"WYSC Scrabble Benefit Tournament",1,1,2,10,8,849,940,948,1984,"",""
"Yong Jian Rong",2014-03-15,"WYSC Scrabble Benefit Tournament",1,1,5,10,5,519,442,450,1885,"",""
"Tony Sim",2014-03-30,"Jurong Green CC Scrabble Open Championship 2014",1,3,8,14,8,118,2005,2020,1879,"",""
"Cheah Siu Hean",2014-03-30,"Jurong Green CC Scrabble Open Championship 2014",1,3,2,14,13,554,1792,1807,2027,"",""
"Ricky Purnomo",2014-03-30,"Jurong Green CC Scrabble Open Championship 2014",1,3,6,14,9,109,1285,1300,1878,"",""
"Hubert Wee Ming Hui",2014-03-30,"Jurong Green CC Scrabble Open Championship 2014",1,3,3,14,12,543,1148,1163,2053,"",""
"Marlon Prudencio",2014-03-30,"Jurong Green CC Scrabble Open Championship 2014",1,3,5,14,10,300,949,964,1977,"",""
"Yeo Kian Hung Henry",2014-03-30,"Jurong Green CC Scrabble Open Championship 2014",1,3,7,14,8,164,555,570,1869,"",""
"Yong Jian Rong",2014-03-30,"Jurong Green CC Scrabble Open Championship 2014",1,3,10,14,7,-479,451,463,1835,"",""
"Tony Sim",2014-04-05,"WYSC Scrabble Benefit Tournament",1,2,7,10,5,39,2021,2029,1857,"",""
"Marlon Prudencio",2014-04-05,"WYSC Scrabble Benefit Tournament",1,2,3,10,6,284,965,973,1958,"",""
"Victor Chua",2014-04-05,"WYSC Scrabble Benefit Tournament",1,2,5,10,6,228,816,824,1873,"",""
"Tony Sim",2014-05-18,"Jurong Green CC mini tournament",1,1,6,12,5,369,2030,2038,1846,"",""
"Cheah Siu Hean",2014-05-18,"Jurong Green CC mini tournament",1,1,3,12,6,527,1808,1816,2018,"",""
"Hubert Wee Ming Hui",2014-05-18,"Jurong Green CC mini tournament",1,1,2,12,6,780,1164,1172,2041,"",""
"Yong Jian Rong",2014-05-18,"Jurong Green CC mini tournament",1,1,5,12,5,472,464,472,1845,"",""
