"","player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","cumwin","cumspread","ave.score","hi.score","low.score","si","lose.streak","win.streak","rank"
"125","Andy Kurnia",4,296,7,6,"N",0,"Lose","N","Cheah Siu Hean",510,-214,1.5,-440,354.5,424,292,149560,2,2,29
"126","Arul Inthirarajah",4,314,19,30,"N",0,"Lose","N","Poh Ying Ming",413,-99,1,-85,363,498,199,99915,4,3,30
"127","Cheah Siu Hean",4,510,6,7,"N",1,"Win","N","Andy Kurnia",296,214,2,342,452,510,396,200342,2,3,13
"128","Chew Han Ei",4,448,31,23,"N",1,"Win","N","Nicholas Hong",325,123,2,77,414.75,448,399,200077,2,3,18
"129","Dianne Ward",4,441,37,22,"N",1,"Win","N","Ananto Widodo",366,75,2,-34,391.5,441,350,199966,2,3,24
"130","Elizabeth Wok",4,394,17,29,"N",1,"Win","N","Alex Tan",376,18,2,-202,339,394,299,199798,2,3,27
"131","Gabriel Cheang",4,471,11,16,"N",1,"Win","N","Ricky Purnomo",392,79,3,447,465.5,505,414,300447,2,2,4
"132","Gan Yi En",4,436,9,13,"N",0,"Lose","N","J Goutham",437,-1,2,74,433,494,367,200074,3,2,19
"133","Goh Jiang Pern",4,257,32,14,"N",0,"Lose","N","Tan Mun Ri",419,-162,1,-297,366.25,417,257,99703,4,2,35
"134","Hubert Wee",4,448,12,3,"N",1,"Win","N","Ron Baginski",429,19,3,9,426,448,393,300009,2,4,11
"135","J Goutham",4,437,13,9,"N",1,"Win","N","Gan Yi En",436,1,3,80,430.25,471,391,300080,2,6,9
"136","Jeremy Khoo",4,358,20,15,"N",0,"Lose","N","Lee Cheong Cheng",459,-101,2,304,384.75,461,331,200304,3,2,14
"137","Jessie Lim",4,385,33,28,"N",1,"Win","N","Shahrul Kamal",314,71,2,-170,389.25,526,314,199830,2,2,26
"138","K Dorai Raja",4,410,5,27,"N",0,"Lose","N","Marlon Prudencio",442,-32,3,359,467.25,563,406,300359,6,4,6
"139","Karen Richards",4,457,10,21,"N",1,"Win","N","Yong Jian Rong",449,8,3,44,395,457,342,300044,2,3,10
"140","Lee Cheong Cheng",4,459,15,20,"N",1,"Win","N","Jeremy Khoo",358,101,4,282,387.5,499,150,400282,4,6,2
"141","Leon Tan",4,498,24,25,"N",1,"Win","N","Neo Wei Sheng",381,117,3,242,476.5,498,426,300242,3,3,8
"142","Marlon Prudencio",4,442,27,5,"N",1,"Win","N","K Dorai Raja",410,32,4,218,452.5,518,366,400218,3,5,3
"143","Mary Morgan",4,393,39,34,"N",1,"Win","N","Muhd Fari Husada",263,130,1,-159,356.75,404,278,99841,5,4,33
"144","Muhd Fari Husada",4,263,34,39,"N",0,"Lose","N","Mary Morgan",393,-130,0,-359,340.5,372,263,-359,4,1,39
"145","Neo Wei Sheng",4,381,25,24,"N",0,"Lose","N","Leon Tan",498,-117,2,-31,418.5,472,381,199969,3,3,23
"146","Nicholas Hong",4,325,23,31,"N",0,"Lose","N","Chew Han Ei",448,-123,1,-152,394.5,422,325,99848,3,2,31
"147","Nigel Richards",4,457,2,1,"N",0,"Lose","N","Alastair Richards",506,-49,2,107,462.75,578,372,200107,2,7,16
"148","Poh Ying Ming",4,413,30,19,"N",1,"Win","N","Arul Inthirarajah",314,99,2,87,401,439,363,200087,3,5,17
"149","Ricky Purnomo",4,392,16,11,"N",0,"Lose","N","Gabriel Cheang",471,-79,2,169,371,593,150,200169,2,4,15
"150","Ron Baginski",4,429,3,12,"N",0,"Lose","N","Hubert Wee",448,-19,2,3,443.75,493,406,200003,2,5,22
"151","Shahrul Kamal",4,314,28,33,"N",0,"Lose","N","Jessie Lim",385,-71,1,-355,349,448,280,99645,3,2,36
"152","Sharon Chia",4,309,35,36,"N",0,"Lose","N","Theng Wai Mun",334,-25,0,-390,315.25,337,286,-390,6,3,40
"153","Tan Mun Ri",4,419,14,32,"N",1,"Win","N","Goh Jiang Pern",257,162,2,16,360.75,419,291,200016,3,3,21
"154","Tay Jing En",4,373,26,18,"N",0,"Lose","N","Tengku Asri",417,-44,2,-55,402,434,367,199945,6,3,25
"155","Tengku Asri",4,417,18,26,"N",1,"Win","N","Tay Jing En",373,44,2.5,-36,407.25,486,302,249964,3,2,12
"156","Theng Wai Mun",4,334,36,35,"N",1,"Win","N","Sharon Chia",309,25,1,-423,285.5,359,167,99577,3,3,37
