Bingo,Score,Player,Round
GENTLES,75,J Jeyaseelan,13
TENDRES,63,J Jeyaseelan,13
hAYIEST,66,Hubert Wee,15
REFOOTED,62,Hubert Wee,15
ARSeHOLE,90,Hubert Wee,15
TUTTIES,73,Cheah Siu Hean,15
HOARIEST,74,Tony Sim,14
LEADIEST,74,Tony Sim,14
DENTOID,72,Cheah Siu Hean,14
AGENESIA,86,Cheah Siu Hean,14
GAUCIESt,88,Gabriel Cheang,14
ECOTAGEs,75,Gabriel Cheang,14
UNELATED,72,Gabriel Cheang,14
INTITULE,64,Andy Kurnia,14
OWRELAY,63,J Jeyaseelan,14
REVERSO,70,J Jeyaseelan,14
IMPAIRED,102,J Jeyaseelan,14
TROOLIES,66,J Jeyaseelan,14
SENOPIA,73,Michael Tang,14
HOISTED,102,Lim Li Wei,14
TRENISE,72,Lim Li Wei,14
WASTAGE,95,Lim Li Wei,14
IRENICAL,83,Lim Li Wei,14
SATURATE,68,Marlon Prudencio,14
REFORGE,78,Marlon Prudencio,14
GaYNESS,83,Shim Yen Nee,14
OUTSHONE,74,Shim Yen Nee,14
EROTICA,73,Shim Yen Nee,14
DIPTEROI,70,Lee Guan Hui,14
CAROTINs,86,Lee Guan Hui,14
RETINOLS,59,Yong Jian Rong,14
DUALISES,74,Hubert Wee,14
DETRAIN,75,Hubert Wee,14
IRONIZE,89,Hubert Wee,14
ORATORS,69,Tay Jing En,14
AlLURES,73,Leon Tan,14
ADENINE,67,Leon Tan,14
STAMPInG,72,Leon Tan,14
TARWEEDS,68,Leon Tan,14
GEORGIC,83,Marlon Prudencio,15
NAILsET,81,Lee Guan Hui,15
AGENIsE,79,Lee Guan Hui,15
INQiLAB,82,Leon Tan,15
STERNEST,59,Leon Tan,15
DURATeS*,84,Tay Jing En,15
RETILES,67,Shim Yen Nee,15
MISREAD,79,Shim Yen Nee,15
VAINEST,89,Shim Yen Nee,15
GEEZERS,76,Jeremy Khoo,15
GUITARS,69,Jeremy Khoo,15
UNTOWArD,86,Jeremy Khoo,15
FAuCETS,89,Jeremy Khoo,15
LARIATED,79,Lee Cheong Cheng,15
BROILING,76,Lee Cheong Cheng,15
WATeRED,85,Andy Kurnia,15
DARKeNS,79,Andy Kurnia,15
FRACTURE,80,Andy Kurnia,15
PROFITED,80,Lim Li Wei,15
NETTLES,73,Lim Li Wei,15
SINUATE,81,Michael Tang,15
BEARDING,80,Michael Tang,15
ANGINAs,61,Andy Kurnia,16
STEvENS,68,Andy Kurnia,16
SNIVELS,64,Marlon Prudencio,16
EMICTORY,84,Marlon Prudencio,16
REBORING,95,Marlon Prudencio,16
BLOATERS,83,Lim Li Wei,16
RUNLETS,77,Michael Tang,16
REGRATED,86,Hubert Wee,16
RADIANT,74,Tay Jing En,16
TRAVOIS,66,Gabriel Cheang,16
ENATION,67,Gabriel Cheang,16
INDORSED,83,J Jeyaseelan,16
LITIGATE,68,Lee Guan Hui,16
ERASION,69,Lee Guan Hui,16
BETAINES,90,Shim Yen Nee,16
DANGERS,84,Shim Yen Nee,16
RENEWALS,86,Shim Yen Nee,16
GENISTA,82,Tony Sim,16
CRACKLE,85,Tony Sim,16
SERRING,98,Tony Sim,16
FORTIES,69,Tony Sim,16
OUTLEAD,77,Cheah Siu Hean,16
AIERIES,77,Cheah Siu Hean,16
LOAMIER,67,Lee Cheong Cheng,16
NITROUS,66,Lee Cheong Cheng,16
ENTAILER,78,Leon Tan,16
FROSTING,64,Leon Tan,16
NETBALL,70,Tony Sim,17
REBATES,80,Tony Sim,17
CAPTION,78,Hubert Wee,17
NEAREST,86,Hubert Wee,17
TENSIBLE,73,Hubert Wee,17
DEMERGES,76,Lim Li Wei,17
STORMIER,82,Lim Li Wei,17
TARRIER,72,Yong Jian Rong,17
RELOANS,68,Yong Jian Rong,17
CELOSIA,72,Yong Jian Rong,17
TESTONS,91,J Jeyaseelan,17
TAURINES,64,Marlon Prudencio,17
FINAGLE,63,Michael Tang,17
EXPANDS,81,Tay Jing En,17
ARRIVES,80,Jeremy Khoo,17
FOUTRES,68,Jeremy Khoo,17
ENABLED,72,Lee Guan Hui,17
OVERHAUL,80,Lee Guan Hui,17
sEMANTIC,62,Lee Cheong Cheng,17
RATINGS,61,Lee Cheong Cheng,17
IRISATE,64,Shim Yen Nee,17
HERRINg,75,Shim Yen Nee,17
INTENSE,82,Shim Yen Nee,17
EPiGONIS*,62,Leon Tan,17
AMBIENT,76,Andy Kurnia,17
ODORANTS,82,Gabriel Cheang,17
CAIQUES,94,Yong Jian Rong,18
DIALOGS,74,Yong Jian Rong,18
TENORITE,60,Yong Jian Rong,18
ENTIRELY,72,Marlon Prudencio,18
HANTLES,68,Marlon Prudencio,18
ISATINES,131,Tay Jing En,18
DOLLIES,78,Tay Jing En,18
STRIDENT,122,Tay Jing En,18
DEITIES,73,Gabriel Cheang,18
CHEERING,74,Lee Cheong Cheng,18
FINITES,74,Lee Cheong Cheng,18
STANDER,68,Leon Tan,18
LOUNGeR,73,Tony Sim,18
BARITONE,74,Shim Yen Nee,18
FORLANAS,76,Shim Yen Nee,18
MODELING,72,Shim Yen Nee,18
BLISTERS,83,Shim Yen Nee,18
TEENIER,64,Cheah Siu Hean,18
OWRIEST,94,Hubert Wee,18
GOLDARNS,66,Hubert Wee,18
NATURAL,62,Hubert Wee,18
INULASE,97,Michael Tang,18
GESTALTS,60,Michael Tang,18
VArIABLE,66,Andy Kurnia,18
LORRIES,80,Andy Kurnia,18
FOrEGONE,72,Lim Li Wei,18
ARGYRIA,74,J Jeyaseelan,18
DEBONAIR,65,J Jeyaseelan,18
SEEPAGES,63,J Jeyaseelan,18
