"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Jeremy Khoo",8,334,2,14,"N",0,"Lose","N","Hubert Wee",443,-109,0,0,1,0,1,2,"N",3,14,4,1,67
"Tay Jing En",8,519,8,15,"N",1,"Win","N","J Jeyaseelan",449,70,1,0,0,0,1,4,"N",11,18,6,3,263
"Leon Tan",8,392,1,16,"N",0,"Lose","N","Cheah Siu Hean",477,-85,1,1,0,0,0,3,"N",8,0,5,3,227
"Cheah Siu Hean",9,382,14,1,"N",0,"Lose","N","Jeremy Khoo",462,-80,1,0,0,0,1,2,"",NA,NA,4,2,153
"Hubert Wee",9,413,12,2,"N",0,"Lose","N","Gabriel Cheang",476,-63,2,0,0,0,0,1,"N",8,42,3,2,169
"Marlon Prudencio",9,479,16,3,"N",1,"Win","N","Leon Tan",348,131,1,0,1,1,1,1,"N",3,30,5,2,136
"Tony Sim",9,376,10,4,"N",0,"Lose","N","Yong Jian Rong",383,-7,2,0,0,1,1,2,"",0,20,6,2,143
"Michael Tang",9,420,13,5,"N",1,"Win","N","Lee Cheong Cheng",324,96,1,0,1,0,1,3,"N",2,4,6,1,76
"Lim Li Wei",9,458,8,6,"N",1,"Win","N","J Jeyaseelan",418,40,2,1,0,1,1,1,"N",7,58,6,1,61
"Lee Guan Hui",9,360,11,7,"N",0,"Lose","N","Shim Yen Nee",491,-131,2,0,1,0,1,0,"",NA,NA,4,2,149
"J Jeyaseelan",9,418,6,8,"N",0,"Lose","Y","Lim Li Wei",458,-40,0,0,1,0,0,3,"Y",0,1,4,3,226
"Andy Kurnia",9,486,15,9,"N",1,"Win","Y","Tay Jing En",421,65,0,0,1,0,1,2,"N",9,59,4,2,152
"Yong Jian Rong",9,383,4,10,"N",1,"Win","Y","Tony Sim",376,7,0,1,1,0,0,2,"N",3,20,4,1,72
"Shim Yen Nee",9,491,7,11,"N",1,"Win","Y","Lee Guan Hui",360,131,0,1,0,1,0,4,"",NA,NA,6,3,253
"Gabriel Cheang",9,476,2,12,"N",1,"Win","Y","Hubert Wee",413,63,0,1,1,1,1,3,"N",13,36,7,1,89
