"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Valliammah Thambiaya",15,457,8,7,"N",1,"Win","Y","Khumraj Thapa",304,153,0,1,1,1,1,0,"",NA,NA,4,0,0
"Khumraj Thapa",15,304,7,8,"N",0,"Lose","N","Valliammah Thambiaya",457,-153,2,0,0,0,0,4,"",NA,NA,6,0,0
"Lee Chee Meng",16,385,7,1,"N",0,"Lose","Y","Valliammah Thambiaya",430,-45,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0,0
"Shukra Raj Gurung",16,334,5,2,"N",1,"Win","N","S Shanthikumar",274,60,2,0,1,0,0,2,"",NA,NA,5,1,65
"Nicholas Lee",16,354,6,3,"N",0,"Lose","N","Shahrul Kamal",468,-114,0,0,0,0,0,1,"N",4,0,1,1,70
"Mohammed Ameen",16,389,8,4,"N",1,"Win","Y","Khumraj Thapa",310,79,1,NA,NA,NA,NA,NA,"",NA,NA,NA,0,0
"S Shanthikumar",16,274,2,5,"N",0,"Lose","Y","Shukra Raj Gurung",334,-60,0,1,0,1,1,0,"",NA,NA,3,0,0
"Shahrul Kamal",16,468,3,6,"N",1,"Win","N","Nicholas Lee",354,114,2,1,1,1,1,3,"N",3,0,9,3,257
"Valliammah Thambiaya",16,430,1,7,"N",1,"Win","N","Lee Chee Meng",385,45,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0,0
"Khumraj Thapa",16,310,4,8,"N",0,"Lose","N","Mohammed Ameen",389,-79,1,NA,NA,NA,NA,NA,"",NA,NA,NA,0,0
